Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n500-mu1,5,Leiden,0.0176,0.5335,0.9628
lfr-n500-mu1,6,Leiden-LPA-v1,0.0161,0.5335,0.9628
lfr-n500-mu1,6,Leiden,0.0159,0.5335,0.9628
lfr-n500-mu1,7,Leiden-LPA-v1,0.0172,0.5335,0.9628
lfr-n500-mu1,7,Leiden,0.0171,0.5335,0.9628
lfr-n500-mu1,8,Leiden-LPA-v1,0.0172,0.5335,0.9628
lfr-n500-mu1,8,Leiden,0.0166,0.5335,0.9628
lfr-n500-mu1,9,Leiden-LPA-v1,0.017,0.5335,0.9628
lfr-n500-mu1,9,Leiden,0.017,0.5335,0.9628
lfr-n500-mu3,0,Leiden-LPA-v1,0.0258,0.4432,0.8663
lfr-n500-mu3,0,Leiden,0.0228,0.4432,0.8663
lfr-n500-mu3,1,Leiden-LPA-v1,0.0195,0.4429,0.8521
lfr-n500-mu3,1,Leiden,0.0195,0.4429,0.8521
lfr-n500-mu3,2,Leiden-LPA-v1,0.0201,0.4375,0.8298
lfr-n500-mu3,2,Leiden,0.0199,0.4375,0.8298
lfr-n500-mu3,3,Leiden-LPA-v1,0.0199,0.4436,0.8563
lfr-n500-mu3,3,Leiden,0.0197,0.4436,0.8563
lfr-n500-mu3,4,Leiden-LPA-v1,0.0193,0.4433,0.8731
lfr-n500-mu3,4,Leiden,0.0192,0.4433,0.8731
lfr-n500-mu3,5,Leiden-LPA-v1,0.021,0.4397,0.8395
lfr-n500-mu3,5,Leiden,0.0203,0.4397,0.8395
lfr-n500-mu3,6,Leiden-LPA-v1,0.0197,0.4436,0.8755
lfr-n500-mu3,6,Leiden,0.0198,0.4436,0.8755
lfr-n500-mu3,7,Leiden-LPA-v1,0.0196,0.4442,0.8799
lfr-n500-mu3,7,Leiden,0.0187,0.4442,0.8799
lfr-n500-mu3,8,Leiden-LPA-v1,0.0192,0.4416,0.8722
lfr-n500-mu3,8,Leiden,0.0195,0.4416,0.8722
lfr-n500-mu3,9,Leiden-LPA-v1,0.0204,0.4443,0.8747
lfr-n500-mu3,9,Leiden,0.0201,0.4443,0.8747
lfr-n500-mu5,0,Leiden-LPA-v1,0.0245,0.312,0.2724
lfr-n500-mu5,0,Leiden,0.0242,0.312,0.2724
lfr-n500-mu5,1,Leiden-LPA-v1,0.0238,0.3147,0.2792
lfr-n500-mu5,1,Leiden,0.0248,0.3147,0.2792
lfr-n500-mu5,2,Leiden-LPA-v1,0.0305,0.3054,0.3067
lfr-n500-mu5,2,Leiden,0.0256,0.3054,0.3067
lfr-n500-mu5,3,Leiden-LPA-v1,0.0249,0.3098,0.287
lfr-n500-mu5,3,Leiden,0.0249,0.3098,0.287
lfr-n500-mu5,4,Leiden-LPA-v1,0.0277,0.3101,0.2817
lfr-n500-mu5,4,Leiden,0.0276,0.3101,0.2817
lfr-n500-mu5,5,Leiden-LPA-v1,0.0225,0.3166,0.2976
lfr-n500-mu5,5,Leiden,0.023,0.3166,0.2976
lfr-n500-mu5,6,Leiden-LPA-v1,0.0243,0.3017,0.243
lfr-n500-mu5,6,Leiden,0.0241,0.3017,0.243
lfr-n500-mu5,7,Leiden-LPA-v1,0.025,0.3125,0.2993
lfr-n500-mu5,7,Leiden,0.0248,0.3125,0.2993
lfr-n500-mu5,8,Leiden-LPA-v1,0.0255,0.31,0.2615
lfr-n500-mu5,8,Leiden,0.025,0.31,0.2615
lfr-n500-mu5,9,Leiden-LPA-v1,0.0257,0.307,0.2567
lfr-n500-mu5,9,Leiden,0.0262,0.307,0.2567
lfr-n5000-mu1,0,Leiden-LPA-v1,0.1923,0.7955,0.9801
lfr-n5000-mu1,0,Leiden,0.1847,0.7955,0.9801
lfr-n5000-mu1,1,Leiden-LPA-v1,0.1901,0.7954,0.9776
lfr-n5000-mu1,1,Leiden,0.1915,0.7954,0.9776
lfr-n5000-mu1,2,Leiden-LPA-v1,0.1821,0.7955,0.9815
lfr-n5000-mu1,2,Leiden,0.1803,0.7955,0.9815
lfr-n5000-mu1,3,Leiden-LPA-v1,0.1976,0.7954,0.9782
lfr-n5000-mu1,3,Leiden,0.1962,0.7954,0.9782
lfr-n5000-mu1,4,Leiden-LPA-v1,0.1944,0.7955,0.9815
lfr-n5000-mu1,4,Leiden,0.1925,0.7955,0.9815
lfr-n5000-mu1,5,Leiden-LPA-v1,0.1908,0.7955,0.9801
lfr-n5000-mu1,5,Leiden,0.1935,0.7955,0.9801
lfr-n5000-mu1,6,Leiden-LPA-v1,0.1919,0.7955,0.9815
lfr-n5000-mu1,6,Leiden,0.1901,0.7955,0.9815
lfr-n5000-mu1,7,Leiden-LPA-v1,0.1906,0.7955,0.9815
lfr-n5000-mu1,7,Leiden,0.2,0.7955,0.9815
lfr-n5000-mu1,8,Leiden-LPA-v1,0.1892,0.7955,0.9815
lfr-n5000-mu1,8,Leiden,0.1949,0.7955,0.9815
lfr-n5000-mu1,9,Leiden-LPA-v1,0.1972,0.7955,0.9815
lfr-n5000-mu1,9,Leiden,0.1908,0.7955,0.9815
lfr-n5000-mu3,0,Leiden-LPA-v1,0.2607,0.5666,0.9533
lfr-n5000-mu3,0,Leiden,0.253,0.5666,0.9533
lfr-n5000-mu3,1,Leiden-LPA-v1,0.2518,0.5667,0.948
lfr-n5000-mu3,1,Leiden,0.2499,0.5667,0.948
lfr-n5000-mu3,2,Leiden-LPA-v1,0.2557,0.5667,0.9528
lfr-n5000-mu3,2,Leiden,0.2555,0.5667,0.9528
lfr-n5000-mu3,3,Leiden-LPA-v1,0.2599,0.5662,0.9468
lfr-n5000-mu3,3,Leiden,0.2609,0.5662,0.9468
lfr-n5000-mu3,4,Leiden-LPA-v1,0.2506,0.5667,0.9482
lfr-n5000-mu3,4,Leiden,0.2517,0.5667,0.9482
lfr-n5000-mu3,5,Leiden-LPA-v1,0.2555,0.5667,0.948
lfr-n5000-mu3,5,Leiden,0.2575,0.5667,0.948
lfr-n5000-mu3,6,Leiden-LPA-v1,0.2546,0.5641,0.9413
lfr-n5000-mu3,6,Leiden,0.2497,0.5641,0.9413
lfr-n5000-mu3,7,Leiden-LPA-v1,0.2552,0.5668,0.948
lfr-n5000-mu3,7,Leiden,0.2492,0.5668,0.948
lfr-n5000-mu3,8,Leiden-LPA-v1,0.2421,0.5667,0.9487
lfr-n5000-mu3,8,Leiden,0.2653,0.5667,0.9487
lfr-n5000-mu3,9,Leiden-LPA-v1,0.2542,0.566,0.948
lfr-n5000-mu3,9,Leiden,0.2519,0.566,0.948
lfr-n5000-mu5,0,Leiden-LPA-v1,0.3244,0.3267,0.3334
lfr-n5000-mu5,0,Leiden,0.3237,0.3267,0.3334
lfr-n5000-mu5,1,Leiden-LPA-v1,0.3154,0.3253,0.3244
lfr-n5000-mu5,1,Leiden,0.3121,0.3253,0.3244
lfr-n5000-mu5,2,Leiden-LPA-v1,0.3277,0.3309,0.3274
lfr-n5000-mu5,2,Leiden,0.325,0.3309,0.3274
lfr-n5000-mu5,3,Leiden-LPA-v1,0.3249,0.326,0.3161
lfr-n5000-mu5,3,Leiden,0.3372,0.326,0.3161
lfr-n5000-mu5,4,Leiden-LPA-v1,0.3699,0.3312,0.3819
lfr-n5000-mu5,4,Leiden,0.3134,0.3312,0.3819
lfr-n5000-mu5,5,Leiden-LPA-v1,0.3249,0.3282,0.3351
lfr-n5000-mu5,5,Leiden,0.327,0.3282,0.3351
lfr-n5000-mu5,6,Leiden-LPA-v1,0.3283,0.3282,0.3323
lfr-n5000-mu5,6,Leiden,0.3269,0.3282,0.3323
lfr-n5000-mu5,7,Leiden-LPA-v1,0.3342,0.3293,0.3328
lfr-n5000-mu5,7,Leiden,0.3325,0.3293,0.3328
lfr-n5000-mu5,8,Leiden-LPA-v1,0.3472,0.3203,0.2946
lfr-n5000-mu5,8,Leiden,0.3449,0.3203,0.2946
lfr-n5000-mu5,9,Leiden-LPA-v1,0.3113,0.3309,0.342
lfr-n5000-mu5,9,Leiden,0.31,0.3309,0.342
