Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n500-mu3,4,Leiden,0.0195,0.4433,0.8731
lfr-n500-mu3,5,Leiden-LPA-v4,0.0115,0.2735,0.4848
lfr-n500-mu3,5,Leiden,0.0213,0.4397,0.8395
lfr-n500-mu3,6,Leiden-LPA-v4,0.0122,0.2356,0.4153
lfr-n500-mu3,6,Leiden,0.0202,0.4436,0.8755
lfr-n500-mu3,7,Leiden-LPA-v4,0.0104,0.2699,0.4895
lfr-n500-mu3,7,Leiden,0.0193,0.4442,0.8799
lfr-n500-mu3,8,Leiden-LPA-v4,0.0113,0.2606,0.3806
lfr-n500-mu3,8,Leiden,0.0194,0.4416,0.8722
lfr-n500-mu3,9,Leiden-LPA-v4,0.011,0.2079,0.3273
lfr-n500-mu3,9,Leiden,0.0228,0.4443,0.8747
lfr-n500-mu5,0,Leiden-LPA-v4,0.0122,0.2695,0.2117
lfr-n500-mu5,0,Leiden,0.0245,0.312,0.2724
lfr-n500-mu5,1,Leiden-LPA-v4,0.0146,0.2439,0.1835
lfr-n500-mu5,1,Leiden,0.024,0.3147,0.2792
lfr-n500-mu5,2,Leiden-LPA-v4,0.0119,0.2691,0.2266
lfr-n500-mu5,2,Leiden,0.0262,0.3054,0.3067
lfr-n500-mu5,3,Leiden-LPA-v4,0.0105,0.2639,0.2092
lfr-n500-mu5,3,Leiden,0.0246,0.3098,0.287
lfr-n500-mu5,4,Leiden-LPA-v4,0.0103,0.2803,0.2764
lfr-n500-mu5,4,Leiden,0.0273,0.3101,0.2817
lfr-n500-mu5,5,Leiden-LPA-v4,0.011,0.2647,0.2507
lfr-n500-mu5,5,Leiden,0.0223,0.3166,0.2976
lfr-n500-mu5,6,Leiden-LPA-v4,0.0109,0.2668,0.2169
lfr-n500-mu5,6,Leiden,0.0243,0.3017,0.243
lfr-n500-mu5,7,Leiden-LPA-v4,0.0142,0.2133,0.2263
lfr-n500-mu5,7,Leiden,0.0245,0.3125,0.2993
lfr-n500-mu5,8,Leiden-LPA-v4,0.0111,0.2439,0.2067
lfr-n500-mu5,8,Leiden,0.026,0.31,0.2615
lfr-n500-mu5,9,Leiden-LPA-v4,0.0123,0.286,0.2237
lfr-n500-mu5,9,Leiden,0.0269,0.307,0.2567
lfr-n5000-mu1,0,Leiden-LPA-v4,0.0941,0.786,0.9215
lfr-n5000-mu1,0,Leiden,0.1915,0.7955,0.9801
lfr-n5000-mu1,1,Leiden-LPA-v4,0.1617,0.7851,0.9168
lfr-n5000-mu1,1,Leiden,0.2011,0.7954,0.9776
lfr-n5000-mu1,2,Leiden-LPA-v4,0.0889,0.7854,0.9223
lfr-n5000-mu1,2,Leiden,0.18,0.7955,0.9815
lfr-n5000-mu1,3,Leiden-LPA-v4,0.0844,0.7849,0.919
lfr-n5000-mu1,3,Leiden,0.1926,0.7954,0.9782
lfr-n5000-mu1,4,Leiden-LPA-v4,0.096,0.7826,0.9133
lfr-n5000-mu1,4,Leiden,0.1905,0.7955,0.9815
lfr-n5000-mu1,5,Leiden-LPA-v4,0.0827,0.7833,0.9083
lfr-n5000-mu1,5,Leiden,0.1929,0.7955,0.9801
lfr-n5000-mu1,6,Leiden-LPA-v4,0.081,0.7858,0.9212
lfr-n5000-mu1,6,Leiden,0.1801,0.7955,0.9815
lfr-n5000-mu1,7,Leiden-LPA-v4,0.0828,0.7855,0.9198
lfr-n5000-mu1,7,Leiden,0.1861,0.7955,0.9815
lfr-n5000-mu1,8,Leiden-LPA-v4,0.0859,0.7856,0.9205
lfr-n5000-mu1,8,Leiden,0.1841,0.7955,0.9815
lfr-n5000-mu1,9,Leiden-LPA-v4,0.1043,0.7852,0.9195
lfr-n5000-mu1,9,Leiden,0.1859,0.7955,0.9815
lfr-n5000-mu3,0,Leiden-LPA-v4,0.1144,0.5372,0.8277
lfr-n5000-mu3,0,Leiden,0.2488,0.5666,0.9533
