Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu5,0,Leiden-LPA-v11,0.0281,0.299,0.3573
lfr-n1000-mu5,0,Leiden,0.0421,0.3352,0.4069
lfr-n1000-mu5,1,Leiden-LPA-v11,0.028,0.3019,0.3371
lfr-n1000-mu5,1,Leiden,0.0458,0.3282,0.3919
lfr-n1000-mu5,2,Leiden-LPA-v11,0.0279,0.3019,0.3266
lfr-n1000-mu5,2,Leiden,0.0443,0.3271,0.3818
lfr-n1000-mu5,3,Leiden-LPA-v11,0.0271,0.3011,0.3135
lfr-n1000-mu5,3,Leiden,0.0456,0.332,0.4106
lfr-n1000-mu5,4,Leiden-LPA-v11,0.0271,0.3036,0.3315
lfr-n1000-mu5,4,Leiden,0.0439,0.3278,0.3838
lfr-n1000-mu5,5,Leiden-LPA-v11,0.0271,0.3,0.3321
lfr-n1000-mu5,5,Leiden,0.0434,0.3292,0.3841
lfr-n1000-mu5,6,Leiden-LPA-v11,0.0278,0.3051,0.3349
lfr-n1000-mu5,6,Leiden,0.0492,0.3248,0.3743
lfr-n1000-mu5,7,Leiden-LPA-v11,0.0279,0.3004,0.3401
lfr-n1000-mu5,7,Leiden,0.0443,0.3343,0.4077
lfr-n1000-mu5,8,Leiden-LPA-v11,0.0268,0.3043,0.3696
lfr-n1000-mu5,8,Leiden,0.048,0.318,0.3224
lfr-n1000-mu5,9,Leiden-LPA-v11,0.0282,0.3102,0.3436
lfr-n1000-mu5,9,Leiden,0.0454,0.3334,0.3696
lfr-n10000-mu1,0,Leiden-LPA-v11,0.2609,0.7814,0.9693
lfr-n10000-mu1,0,Leiden,0.4063,0.7823,0.9852
lfr-n10000-mu1,1,Leiden-LPA-v11,0.2966,0.7813,0.9681
lfr-n10000-mu1,1,Leiden,0.4005,0.7823,0.985
lfr-n10000-mu1,2,Leiden-LPA-v11,0.2488,0.7812,0.9678
lfr-n10000-mu1,2,Leiden,0.403,0.7823,0.9841
lfr-n10000-mu1,3,Leiden-LPA-v11,0.2911,0.7815,0.9702
lfr-n10000-mu1,3,Leiden,0.3983,0.7823,0.9842
lfr-n10000-mu1,4,Leiden-LPA-v11,0.2424,0.7813,0.9675
lfr-n10000-mu1,4,Leiden,0.3966,0.7823,0.9866
lfr-n10000-mu1,5,Leiden-LPA-v11,0.2502,0.7813,0.9674
lfr-n10000-mu1,5,Leiden,0.4029,0.7823,0.9844
lfr-n10000-mu1,6,Leiden-LPA-v11,0.2472,0.7813,0.9693
lfr-n10000-mu1,6,Leiden,0.4111,0.7823,0.9854
lfr-n10000-mu1,7,Leiden-LPA-v11,0.2456,0.7813,0.9693
lfr-n10000-mu1,7,Leiden,0.4048,0.7823,0.9853
