Graph,Repeat,Algorithm,Time (s),Modularity,NMI
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.4,0.0163,0.5243,0.6998
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.4,0.0168,0.5243,0.7033
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.5,0.0213,0.5395,0.7534
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.5,0.0213,0.5387,0.7557
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.5,0.0209,0.5388,0.7527
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.5,0.0216,0.539,0.7577
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.5,0.0213,0.5391,0.7544
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.5,0.0218,0.5362,0.7529
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.5,0.023,0.5413,0.7732
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.5,0.0207,0.5394,0.752
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.5,0.0228,0.5401,0.7509
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.5,0.0214,0.5391,0.768
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.6,0.028,0.548,0.7907
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.6,0.0345,0.5472,0.7964
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.6,0.0268,0.5517,0.8127
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.6,0.0273,0.5517,0.8197
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.6,0.0264,0.5494,0.8068
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.6,0.0265,0.5486,0.8054
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.6,0.0278,0.5478,0.7973
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.6,0.0279,0.5477,0.7931
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.6,0.028,0.5488,0.8083
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.6,0.0272,0.5488,0.8112
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.7,0.0337,0.5575,0.8265
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.7,0.0303,0.5557,0.8161
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.7,0.0334,0.5561,0.8172
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.7,0.0301,0.5569,0.822
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.7,0.0297,0.5562,0.8146
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.7,0.0787,0.5596,0.8389
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.7,0.0322,0.5563,0.8133
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.7,0.0323,0.5556,0.8373
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.7,0.0325,0.5593,0.8457
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.7,2.6186,0.5533,0.7996
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.8,0.0377,0.5611,0.857
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.8,0.0362,0.5619,0.8479
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.8,0.036,0.5617,0.8493
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.8,0.0339,0.5607,0.8535
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.8,0.0334,0.5607,0.8522
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.8,0.0337,0.5618,0.8635
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.8,0.034,0.5609,0.8437
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.8,0.034,0.5619,0.8613
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.8,0.0341,0.5606,0.8498
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.8,0.0354,0.5626,0.8696
lfr-n1000-mu3,0,Leiden-LPA-coreratio_0.9,0.0419,0.5637,0.8662
lfr-n1000-mu3,1,Leiden-LPA-coreratio_0.9,0.0409,0.5632,0.8624
lfr-n1000-mu3,2,Leiden-LPA-coreratio_0.9,0.0409,0.5628,0.8541
lfr-n1000-mu3,3,Leiden-LPA-coreratio_0.9,0.0394,0.5635,0.8796
lfr-n1000-mu3,4,Leiden-LPA-coreratio_0.9,0.0394,0.5633,0.8545
lfr-n1000-mu3,5,Leiden-LPA-coreratio_0.9,0.0389,0.5636,0.8699
lfr-n1000-mu3,6,Leiden-LPA-coreratio_0.9,0.0393,0.5628,0.8734
lfr-n1000-mu3,7,Leiden-LPA-coreratio_0.9,0.0369,0.5636,0.8655
lfr-n1000-mu3,8,Leiden-LPA-coreratio_0.9,0.0386,0.5641,0.8681
lfr-n1000-mu3,9,Leiden-LPA-coreratio_0.9,0.0391,0.5632,0.8584
lfr-n1000-mu3,0,Leiden-LPA-coreratio_1.0,0.0348,0.5662,0.8801
lfr-n1000-mu3,1,Leiden-LPA-coreratio_1.0,0.0317,0.5659,0.8832
lfr-n1000-mu3,2,Leiden-LPA-coreratio_1.0,0.0339,0.5656,0.8899
lfr-n1000-mu3,3,Leiden-LPA-coreratio_1.0,0.0307,0.5646,0.8599
lfr-n1000-mu3,4,Leiden-LPA-coreratio_1.0,0.0307,0.5663,0.894
lfr-n1000-mu3,5,Leiden-LPA-coreratio_1.0,0.0319,0.5664,0.8742
lfr-n1000-mu3,6,Leiden-LPA-coreratio_1.0,0.0318,0.5667,0.8742
lfr-n1000-mu3,7,Leiden-LPA-coreratio_1.0,0.0305,0.5658,0.8953
lfr-n1000-mu3,8,Leiden-LPA-coreratio_1.0,0.0311,0.5653,0.8792
lfr-n1000-mu3,9,Leiden-LPA-coreratio_1.0,0.0302,0.5651,0.8916
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.0,0.0077,0.0,0.0
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.0,0.0076,0.0,0.0
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.0,0.0074,0.0,0.0
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.0,0.0074,0.0,0.0
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.0,0.0075,0.0,0.0
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.0,0.0077,0.0,0.0
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.0,0.0074,0.0,0.0
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.0,0.0074,0.0,0.0
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.0,0.009,0.0,0.0
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.0,0.0079,0.0,0.0
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.1,0.0089,0.2409,0.212
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.1,0.0087,0.2704,0.2214
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.1,0.0084,0.2603,0.2243
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.1,0.0093,0.256,0.2004
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.1,0.0085,0.2472,0.2018
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.1,0.0104,0.2606,0.2105
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.1,0.0099,0.2588,0.2536
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.1,0.0088,0.26,0.2231
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.1,0.0086,0.2662,0.2131
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.1,0.0085,0.2658,0.2023
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.2,0.014,0.2743,0.3148
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.2,0.0138,0.2853,0.286
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.2,0.0127,0.271,0.2923
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.2,0.0135,0.2677,0.254
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.2,0.0134,0.2713,0.2899
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.2,0.0129,0.2715,0.2441
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.2,0.0135,0.2711,0.2639
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.2,0.013,0.279,0.2819
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.2,0.0128,0.2862,0.294
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.2,0.0126,0.2813,0.3002
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.3,0.0177,0.2888,0.3245
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.3,0.0183,0.2931,0.3116
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.3,0.0181,0.281,0.3163
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.3,0.0175,0.285,0.2842
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.3,0.0182,0.2886,0.34
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.3,0.0175,0.2884,0.3193
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.3,0.0177,0.2855,0.2938
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.3,0.0175,0.2929,0.3427
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.3,0.0176,0.2935,0.3261
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.3,0.0186,0.283,0.2922
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.4,0.0228,0.2986,0.3366
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.4,0.025,0.2952,0.3548
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.4,0.0247,0.3018,0.3435
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.4,0.0231,0.3008,0.3412
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.4,0.0241,0.294,0.3247
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.4,0.0225,0.2978,0.3361
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.4,0.0228,0.2977,0.3589
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.4,0.0238,0.3012,0.3107
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.4,0.0239,0.2993,0.333
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.4,0.0241,0.3003,0.3262
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.5,0.0289,0.3127,0.3685
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.5,0.0299,0.3093,0.374
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.5,0.0289,0.3105,0.3532
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.5,0.0285,0.3035,0.3598
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.5,0.0294,0.3063,0.2986
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.5,0.0304,0.3024,0.347
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.5,0.029,0.3126,0.3676
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.5,0.0296,0.3058,0.3417
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.5,0.0303,0.3081,0.3718
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.5,0.0307,0.3103,0.3511
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.6,0.0358,0.3151,0.3864
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.6,0.0356,0.3152,0.383
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.6,0.0362,0.3103,0.367
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.6,0.0383,0.3103,0.3854
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.6,0.0361,0.3178,0.4042
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.6,0.0361,0.3107,0.3844
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.6,0.0377,0.3072,0.3725
lfr-n1000-mu5,7,Leiden-LPA-coreratio_0.6,0.0382,0.318,0.3647
lfr-n1000-mu5,8,Leiden-LPA-coreratio_0.6,0.036,0.3148,0.3966
lfr-n1000-mu5,9,Leiden-LPA-coreratio_0.6,0.0356,0.3182,0.3868
lfr-n1000-mu5,0,Leiden-LPA-coreratio_0.7,0.0432,0.3211,0.3903
lfr-n1000-mu5,1,Leiden-LPA-coreratio_0.7,0.0447,0.3191,0.4061
lfr-n1000-mu5,2,Leiden-LPA-coreratio_0.7,0.0415,0.3152,0.4035
lfr-n1000-mu5,3,Leiden-LPA-coreratio_0.7,0.0421,0.3193,0.412
lfr-n1000-mu5,4,Leiden-LPA-coreratio_0.7,0.0441,0.3205,0.4258
lfr-n1000-mu5,5,Leiden-LPA-coreratio_0.7,0.0415,0.3136,0.3971
lfr-n1000-mu5,6,Leiden-LPA-coreratio_0.7,0.0814,0.3152,0.4021
